"idx","data","godzina","flow"
"814","03/12/2014","00",21.75
"815","03/12/2014","01",14.0625
"816","03/12/2014","02",11.375
"817","03/12/2014","03",15
"818","03/12/2014","04",32.5
"819","03/12/2014","05",69.25
"820","03/12/2014","06",165.75
"821","03/12/2014","07",365.5
"822","03/12/2014","08",433.75
"823","03/12/2014","09",280.75
"824","03/12/2014","10",243.5
"825","03/12/2014","11",209.25
"826","03/12/2014","12",210.5
"827","03/12/2014","13",203.75
"828","03/12/2014","14",207.25
"829","03/12/2014","15",222.75
"830","03/12/2014","16",255.25
"831","03/12/2014","17",249
"832","03/12/2014","18",184.5
"833","03/12/2014","19",100
"834","03/12/2014","20",71.75
"835","03/12/2014","21",54.25
"836","03/12/2014","22",51.75
"837","03/12/2014","23",26.25
"838","04/01/2014","00",21.875
"839","04/01/2014","01",15.75
"840","04/01/2014","02",13.75
"841","04/01/2014","03",12.5
"842","04/01/2014","04",12.25
"843","04/01/2014","05",29.75
"844","04/01/2014","06",54.5
"845","04/01/2014","07",113.625
"846","04/01/2014","08",193
"847","04/01/2014","09",238.25
"848","04/01/2014","10",246
"849","04/01/2014","11",262
"850","04/01/2014","12",230.875
"851","04/01/2014","13",236.75
"852","04/01/2014","14",198.625
"853","04/01/2014","15",181.25
"854","04/01/2014","16",160.375
"855","04/01/2014","17",134
"856","04/01/2014","18",119.625
"857","04/01/2014","19",92.75
"858","04/01/2014","20",62.625
"859","04/01/2014","21",56.5
"860","04/01/2014","22",46.375
"861","04/01/2014","23",36.25
"862","04/02/2014","00",14.125
"863","04/02/2014","01",16.625
"864","04/02/2014","02",8.1875
"865","04/02/2014","03",12.5625
"866","04/02/2014","04",31
"867","04/02/2014","05",65.25
"868","04/02/2014","06",157.25
"869","04/02/2014","07",367.5
"870","04/02/2014","08",409.5
"871","04/02/2014","09",261.25
"872","04/02/2014","10",222.5
"873","04/02/2014","11",194.25
"874","04/02/2014","12",196
"875","04/02/2014","13",205.25
"876","04/02/2014","14",204
"877","04/02/2014","15",213.25
"878","04/02/2014","16",249.5
"879","04/02/2014","17",248.25
"880","04/02/2014","18",164.5
"881","04/02/2014","19",111
"882","04/02/2014","20",61.75
"883","04/02/2014","21",52
"884","04/02/2014","22",32.75
"885","04/02/2014","23",16.5
"886","04/03/2014","00",12.75
"887","04/03/2014","01",10
"888","04/03/2014","02",12.75
"889","04/03/2014","03",12.9375
"890","04/03/2014","04",29.75
"891","04/03/2014","05",70.75
